Component, GAV, License, URL, Scope, Path
Closure Compiler Externs,com.google.javascript:closure-compiler-externs:v20181008:jar,Apache License 2.0,https://github.com/google/closure-compiler/closure-compiler-externs/,binary,
Closure Compiler Unshaded,com.google.javascript:closure-compiler-unshaded:v20181008:jar,Apache License 2.0,https://developers.google.com/closure/compiler/,binary,
Commons CLI,commons-cli:commons-cli:1.2:jar,Apache License 2.0,http://commons.apache.org/cli/,binary,
Commons Lang,commons-lang:commons-lang:2.6:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
ConcurrentLinkedHashMap,com.googlecode.concurrentlinkedhashmap:concurrentlinkedhashmap-lru:1.4.2:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Data Mapper for Jackson,org.codehaus.jackson:jackson-mapper-asl:1.9.14-MULE-002:jar,Apache License 2.0,http://jackson.codehaus.org,binary,
dbUnit Extension,org.dbunit:dbunit:2.5.2:jar,GNU Lesser General Public License 2.1,http://www.gnu.org/licenses/old-licenses/lgpl-2.1.txt,binary,
difflib,bb6753e56cf91ef8b4e2d29f5eaa6d0cb7e7da59,BSD License,https://github.com/cemerick/jsdifflib,binary,
Digester,commons-digester:commons-digester:1.4.1:jar,Apache License 2.0,,binary,
error-prone annotations,com.google.errorprone:error_prone_annotations:2.18.0:jar,Apache 2.0,https://raw.githubusercontent.com/google/error-prone/master/COPYING,binary,
error-prone annotations,com.google.errorprone:error_prone_annotations:2.5.1:jar,Apache 2.0,https://raw.githubusercontent.com/google/error-prone/master/COPYING,binary,
Failsafe,net.jodah:failsafe:2.4.4:jar,Apache License 2.0,https://failsafe.dev,binary,
FindBugs-jsr305,com.google.code.findbugs:jsr305:3.0.2:jar,BSD License,http://findbugs.sourceforge.net/,binary,
Functional Extensions,io.atlassian.fugue:fugue:4.7.2:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,
Functional Guava Extensions,com.atlassian.fugue:fugue:2.7.0:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,
Google Soy compiler,com.google.template.soy:soycompiler:20140422.26-atlassian-2:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Gson,com.google.code.gson:gson:2.10.1:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Guava InternalFutureFailureAccess and InternalFutures,com.google.guava:failureaccess:1.0.1:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Guava ListenableFuture only,com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Guava: Google Core Libraries for Java,com.google.guava:guava:30.1.1-jre:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Hamcrest Core,org.hamcrest:hamcrest-core:2.2:jar,BSD License,https://opensource.org/licenses/BSD-3-Clause,binary,
Hamcrest,org.hamcrest:hamcrest:2.2:jar,BSD License,http://www.opensource.org/licenses/bsd-license.php,binary,
HttpCommons Client library,commons-httpclient:commons-httpclient:3.1-jenkins-3:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,
ICU4J,com.ibm.icu:icu4j:68.2:jar,Unicode/ICU License,https://icu.unicode.org/,binary,
J2ObjC Annotations,com.google.j2objc:j2objc-annotations:1.3:jar,Apache License 2.0,https://github.com/google/j2objc/blob/master/LICENSE,binary,
Jackson,org.codehaus.jackson:jackson-core-asl:1.9.14-MULE-002:jar,Apache License 2.0,http://jackson.codehaus.org,binary,
Jackson-core,com.fasterxml.jackson.core:jackson-core:2.15.2:jar,Apache License 2.0,https://github.com/FasterXML/jackson-core,binary,
Jakarta Mail API,com.sun.mail:jakarta.mail:1.6.7:jar,Eclipse Public License - v 2.0,https://github.com/jakartaee/mail-api,binary,
JavaBeans Activation Framework,com.sun.activation:jakarta.activation:1.2.1:jar,Eclipse Distribution License - v 1.0,http://www.eclipse.org/org/documents/edl-v10.php,binary,
javax.inject,javax.inject:javax.inject:1:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
jcommon,jfree:jcommon:1.0.8:jar,GNU Lesser General Public License 2.1,,binary,
jfreechart,jfree:jfreechart:1.0.13:jar,GNU Lesser General Public License 2.1,,binary,
jOOR,org.jooq:joor:0.9.5:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
jquery.colorbox,1.4.10,MIT License,http://www.jacklmoore.com/colorbox/,binary,
jquery.dragster,1.0.3,MIT License,https://github.com/catmanjan/jquery-dragster,binary,
jquery.dragtable,2.0.4,MIT License,https://github.com/akottr/dragtable,binary,
